Seed,MapWidth,MapHeight,NumBuildings,NumSurvivors,useRRTStar,Approach,TimeTaken,UAV1resc,UAV2resc,UAV3resc,UAV4resc,UAV1dist,UAV2dist,UAV3dist,UAV4dist
3,300,300,30,25,True,nearest,341,4,4,10,7,608.402471122707,476.602665162881,969.170019222434,1112.33889570866
2,500,500,30,25,False,nearest,533,5,4,11,5,606.91181836282,954.703976788162,1741.95940009497,1440.82091277097
3,500,500,60,25,True,centroid,600,2,3,5,5,1187.98274074821,1060.45437766261,1981.95801299169,1981.88380140033
