Approach,N,Mean,StdDev,Variance,CI95_Lower,CI95_Upper
centroid,48,582.75,31.68360875641831,1003.8510638297869,573.7866553782358,591.7133446217642
nearest,48,462.0,66.94106649119598,4481.106382978721,443.062263048319,480.937736951681
