useRRTStar,N,Mean,StdDev,Variance,CI95_Lower,CI95_Upper
False,48,522.375,80.40631524895846,6465.1755319148915,499.62792220076926,545.1220777992307
True,48,522.375,80.40631524895846,6465.1755319148915,499.62792220076926,545.1220777992307
