NumSurvivors,N,Mean,StdDev,Variance,CI95_Lower,CI95_Upper
15,48,515.25,68.86202671577607,4741.978723404257,495.7688202659647,534.7311797340353
25,48,529.5,89.91485333950018,8084.680851063828,504.062941257944,554.937058742056
